target_key,target_label,target_krw,p10_years,p25_years,p50_years,p75_years,p90_years,success_rate_total
7.5e8_4pct,4% rule (KRW 750M),750000000.0,13.5,14.666666666666666,16.333333333333332,18.5,20.833333333333332,0.9983
8.57e8_3.5pct,3.5% rule (KRW 857M),857000000.0,14.416666666666666,15.75,17.5,19.75,22.166666666666668,0.9954
10e8_3pct,"3% rule (KRW 1,000M)",1000000000.0,15.5,16.916666666666668,18.75,21.166666666666668,23.833333333333332,0.9902
