scenario,cagr_annual,7.5e8_4pct_years,8.57e8_3.5pct_years,10e8_3pct_years
Optimistic_10.5pct,0.105,16.25,17.333333333333332,18.583333333333332
Base_8.0pct,0.08,18.416666666666668,19.833333333333332,21.416666666666668
Pessimistic_6.0pct,0.06,20.916666666666668,22.583333333333332,24.583333333333332
