scenario,monthly_contribution_krw,p10_years,p50_years,p90_years,success_rate_30y
S1,1000000.0,17.166666666666668,20.833333333333332,26.0,0.9651
S2,1500000.0,14.416666666666666,17.5,22.166666666666668,0.9954
S3,2000000.0,12.5,15.166666666666666,19.25,0.9995
S4,2500000.0,11.166666666666666,13.416666666666666,17.0,0.9999
S5,3000000.0,10.083333333333334,12.083333333333334,15.416666666666666,1.0
