strategy,success_rate_40y,final_p5,final_p25,final_p50,final_p75,final_p95,ruin_p10_years,ruin_p50_years,first_year_withdraw_p50,first_year_withdraw_p90,first_year_cover_30m_prob,first_year_cover_36m_prob,last_year_withdraw_p50
W1_4pct,0.9241,0.0,6159895065.841643,16151382832.100296,34220279404.451893,83628137139.98466,18.983333333333334,28.0,40000000.0,40000000.0,1.0,1.0,104782979.05912043
W2_3.5pct,0.9563,366011888.4226649,8088256578.238774,18855903332.567608,38181813054.57936,90232650305.19589,20.616666666666667,29.0,35000000.00000001,35000000.00000001,1.0,0.0,91685106.67673051
W3_3pct,0.9779,1830586800.9971652,10021421215.958267,21672433406.875587,42208260104.16235,96546675152.08586,22.166666666666668,30.833333333333332,30000000.0,30000000.0,1.0,0.0,78587234.29434046
W4_guardrails,0.9642,303835343.5677374,4711024006.49152,12024946847.238152,25852748693.536247,65296377374.382545,25.333333333333332,33.083333333333336,40000000.0,40000000.0,1.0,1.0,200128954.65812942
W5_dividend_only,1.0,4412760776.908096,10476674328.439014,18531602452.685246,32271641443.34239,66106196560.210106,,,19144725.291031886,20430003.213370264,0.0,0.0,324125381.3857527
